#class tools::histo::h1d
#title Behind_Sheild deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
1,1,1,7.70058,59.299
1,1,1,12.6867,160.953
3,3,3,54.4844,991.715
7,7,7,151.4,3287.88
10,10,10,281.397,7936.19
14,14,14,451.287,14564.3
12,12,12,451.968,17041.5
14,14,14,603.117,26001.5
12,12,12,577.888,27858.4
21,21,21,1100.88,57760.3
16,16,16,909.016,51676.8
12,12,12,746.843,46495.7
10,10,10,680.2,46283.4
10,10,10,724.149,52457.5
7,7,7,535.538,40976.7
11,11,11,900.782,73778.2
3,3,3,261.016,22712.6
5,5,5,463.849,43036.5
6,6,6,585.594,57164.6
0,0,0,0,0
2,2,2,214.916,23100.1
7,7,7,791.405,89489.5
5,5,5,587.318,69002.7
1,1,1,121.513,14765.4
3,3,3,385.984,49668.8
1,1,1,133.369,17787.3
1,1,1,138.932,19302.1
0,0,0,0,0
2,2,2,294.058,43240.7
0,0,0,0,0
2,2,2,312.769,48912.5
1,1,1,163.918,26869
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
