#class tools::histo::h1d
#title Behind_Sheild deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1,1,1,4.88533,23.8664
1,1,1,6.36334,40.4921
4,4,4,52.8344,707.957
6,6,6,104.064,1812.04
9,9,9,211.383,4984.92
14,14,14,380.782,10396.7
18,18,18,583.438,18948.5
16,16,16,599.721,22506.2
14,14,14,595.842,25383.8
20,20,20,951.633,45328.2
13,13,13,681.869,35786.9
13,13,13,749.398,43226.5
9,9,9,563.547,35304.4
6,6,6,402.409,27003.3
7,7,7,502.373,36064.1
9,9,9,692.51,53299.7
4,4,4,331.403,27465.4
2,2,2,171.784,14755.8
5,5,5,455.786,41557.4
4,4,4,388.281,37698.2
6,6,6,614.448,62933.7
4,4,4,432.496,46764.8
2,2,2,224.219,25142.5
1,1,1,119.606,14305.6
3,3,3,366.262,44720.2
1,1,1,127.013,16132.4
0,0,0,0,0
0,0,0,0,0
2,2,2,281.268,39556.5
1,1,1,149.97,22490.9
1,1,1,152.687,23313.2
1,1,1,158.558,25140.7
0,0,0,0,0
0,0,0,0,0
1,1,1,172.646,29806.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,219.54,48197.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,257.406,66257.9
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
