#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,130.23,16959.8
1,1,1,138.399,19154.3
1,1,1,142.914,20424.5
0,0,0,0,0
3,3,3,459.059,70253.7
2,2,2,315.988,49924.3
1,1,1,161.934,26222.6
1,1,1,166.049,27572.4
1,1,1,173.731,30182.6
2,2,2,357.393,63868.3
8,8,8,1467.33,269142
3,3,3,563.012,105670
1,1,1,193.123,37296.6
8,8,8,1589.42,315792
2,2,2,404.355,81751.7
2,2,2,411.263,84568.6
7,7,7,1487.25,316000
12,12,12,2607.59,566645
13,13,13,2901.89,647790
4,4,4,905.081,204803
14,14,14,3251.22,755058
11,11,11,2620.77,624422
16,16,16,3881.62,941708
27,27,27,6672.08,1.64883e+06
10,10,10,2518.17,634135
12,12,12,3085.95,793604
17,17,17,4466.56,1.17358e+06
8,8,8,2136.33,570508
3,3,3,817.892,222990
7,7,7,1936.28,535605
1,1,1,281.45,79214.3
0,0,0,0,0
1,1,1,290.298,84272.8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
