#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,41.502,1722.42
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,63.3978,4019.28
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,108.014,11667.1
0,0,0,0,0
1,1,1,118.458,14032.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,276.115,38119.8
2,2,2,285.148,40662.4
0,0,0,0,0
1,1,1,154.891,23991.2
2,2,2,313.735,49217.5
0,0,0,0,0
0,0,0,0,0
3,3,3,518.139,89496.4
2,2,2,350.366,61378.2
2,2,2,365.79,66901
7,7,7,1311.73,245815
4,4,4,770.357,148366
6,6,6,1184.72,233946
4,4,4,811.999,164843
6,6,6,1250.61,260675
2,2,2,427.307,91295.8
12,12,12,2603.91,565050
6,6,6,1336.59,297753
11,11,11,2498.19,567388
7,7,7,1623.98,376766
11,11,11,2615.91,622107
12,12,12,2908.05,704752
19,19,19,4701.14,1.16324e+06
7,7,7,1765.56,445338
17,17,17,4367.06,1.12186e+06
14,14,14,3676.33,965397
15,15,15,4005.66,1.06972e+06
12,12,12,3257.78,884443
4,4,4,1110.97,308572
4,4,4,1126.35,317171
1,1,1,286.034,81815.4
1,1,1,291.521,84984.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
